Sanskit Text	Sanskrit Transliteration	Translation
राजा सिन्धूनां पवते पतिर्दिव रतस्य याति पथिभिः कनिक्रदत |	rājā sindhūnāṃ pavate patirdiva ṛtasya yāti pathibhiḥ kanikradat |	33 On flows the King of rivers and the Lord of heaven: he follows with a shout the paths of Holy Law.
सहस्रधारः परि षिच्यते हरिः पुनानो वाचं जनयन्नुपावसुः ||	sahasradhāraḥ pari ṣicyate hariḥ punāno vācaṃ janayannupāvasuḥ ||	The Golden-hued is poured forth, with his hundred streams, Wealth-bringer, lifting up his voice while purified.
पवमान मह्यर्णो वि धावसि सूरो न चित्रो अव्ययानि पव्यया |	pavamāna mahyarṇo vi dhāvasi sūro na citro avyayāni pavyayā |	34 Fain to be cleansed, thou, Pavamana, pourest out, like wondrous Sūrya, through the fleece, an ample sea.
गभस्तिपूतो नर्भिरद्रिभिः सुतो महे वाजाय धन्याय धन्वसि ||	ghabhastipūto nṛbhiradribhiḥ suto mahe vājāya dhanyāya dhanvasi ||	Purified with the hands, pressed by the men with stones, thou speedest on to mighty booty-bringing war.
इषमूर्जं पवमानाभ्यर्षसि शयेनो न वंसु कलशेषुसीदसि |	iṣamūrjaṃ pavamānābhyarṣasi śyeno na vaṃsu kalaśeṣusīdasi |	35 Thou, Pavamana, sendest food and power in streams. thou sittest in the beakers as a hawk on trees,
इन्द्राय मद्वा मद्यो मदः सुतो दिवो विष्टम्भ उपमो विचक्षणः ||	indrāya madvā madyo madaḥ suto divo viṣṭambha upamo vicakṣaṇaḥ ||	For Indra poured as cheering juice to make him glad, as nearest and farseeing bearer-up of heaven.
सप्त सवसारो अभि मातरः शिशुं नवं जज्ञानं जेन्यं विपश्चितम |	sapta svasāro abhi mātaraḥ śiśuṃ navaṃ jajñānaṃ jenyaṃ vipaścitam |	36 The Sisters Seven, the Mothers, stand around the Babe, the noble, new-born Infant, skilled in holy song,
अपां गन्धर्वं दिव्यं नर्चक्षसं सोमंविश्वस्य भुवनस्य राजसे ||	apāṃ ghandharvaṃ divyaṃ nṛcakṣasaṃ somaṃviśvasya bhuvanasya rājase ||	Gandharva of the floods, divine, beholding men, Soma, that he may reign as King of all the world.
ईशान इमा भुवनानि वीयसे युजान इन्दो हरितः सुपर्ण्यः |	īśāna imā bhuvanāni vīyase yujāna indo haritaḥ suparṇyaḥ |	37 As Sovran Lord thereof thou Passest through these worlds, O Indu, harnessing thy tawny well-winged Mares.
तास्ते कषरन्तु मधुमद घर्तं पयस्तव वरते सोम तिष्ठन्तु कर्ष्टयः ||	tāste kṣarantu madhumad ghṛtaṃ payastava vrate soma tiṣṭhantu kṛṣṭayaḥ ||	May they pour forth for thee milk and oil rich in sweets: O Soma, let the folk abide in thy decree.
तवं नर्चक्षा असि सोम विश्वतः पवमान वर्षभ ता वि धावसि |	tvaṃ nṛcakṣā asi soma viśvataḥ pavamāna vṛṣabha tā vi dhāvasi |	38 O Soma, thou beholdest men from every side: O Pavamana, Steer, thou wanderest through these.
स नः पवस्व वसुमद धिरण्यवद वयं सयाम भुवनेषु जीवसे ||	sa naḥ pavasva vasumad dhiraṇyavad vayaṃ syāma bhuvaneṣu jīvase ||	Pour out upon us wealth in treasure and in gold: may we have strength to live among the things that be.
गोवित पवस्व वसुविद धिरण्यविद रेतोधा इन्दो भुवनेष्वर्पितः |	ghovit pavasva vasuvid dhiraṇyavid retodhā indo bhuvaneṣvarpitaḥ |	39 Winner of gold and goods and cattle flow thou on, set as impregner, Indu, mid the worlds of life.
तवं सुवीरो असि सोम विश्ववित तं तवा विप्रा उप गिरेम आसते ||	tvaṃ suvīro asi soma viśvavit taṃ tvā viprā upa ghirema āsate ||	Rich in brave men art thou, Soma, who winnest all: these holy singers wait upon thee with the song.
उन मध्व ऊर्मिर्वनना अतिष्ठिपदपो वसानो महिषो वि गाहते |	un madhva ūrmirvananā atiṣṭhipadapo vasāno mahiṣo vi ghāhate |	40 The wave of flowing meath hath wakened up desires: the Steer enrobed in milk plunges into the streams.
राजा पवित्ररथो वाजमारुहत सहस्रभ्र्ष्टिर्जयति शरवो बर्हत ||	rājā pavitraratho vājamāruhat sahasrabhṛṣṭirjayati śravo bṛhat ||	Borne on his chariot-sieve the King hath risen to war, and with a thousand rays hath won him high renown.
स भन्दना उदियर्ति परजावतीर्विश्वायुर्विश्वाः सुभरा अहर्दिवि |	sa bhandanā udiyarti prajāvatīrviśvāyurviśvāḥ subharā ahardivi |	41 Dear to all life, he sends triumphant praises forth, abundant, bringing offspring, each succeeding day.
बरह्म परजावद रयिमश्वपस्त्यं पीत इन्दविन्द्रमस्मभ्यं याचतात ||	brahma prajāvad rayimaśvapastyaṃ pīta indavindramasmabhyaṃ yācatāt ||	From Indra crave for us, Indu, when thou art quaffed, the blessing that gives children, wealth that harbours steeds.
सो अग्रे अह्नां हरिर्हर्यतो मदः पर चेतसा चेतयते अनुद्युभिः |	so aghre ahnāṃ harirharyato madaḥ pra cetasā cetayate anudyubhiḥ |	42 When days begin, the strong juice, lovely, golden-hued, is recognized by wisdom more and more each day,
दवा जना यातयन्नन्तरीयते नरा च शंसं दैव्यं च धर्तरि ||	dvā janā yātayannantarīyate narā ca śaṃsaṃ daivyaṃ ca dhartari ||	He, stirring both the Races, goes between the two, the bearer of the word of men and word of Gods.
अञ्जते वयञ्जते समञ्जते करतुं रिहन्ति मधुनाभ्यञ्जते |	añjate vyañjate samañjate kratuṃ rihanti madhunābhyañjate |	43 They balm him, balm him over balm him thoroughly, caress the mighty strength and balm it with the meath.
सिन्धोरुच्छ्वासे पतयन्तमुक्षणं हिरण्यपावाः पशुमासु गर्भ्णते ||	sindhorucchvāse patayantamukṣaṇaṃ hiraṇyapāvāḥ paśumāsu ghṛbhṇate ||	They seize the flying Steer at the stream's breathing-place: cleansing with gold they grasp the Animal herein.
विपश्चिते पवमानाय गायत मही न धारात्यन्धो अर्षति |	vipaścite pavamānāya ghāyata mahī na dhārātyandho arṣati |	44 Sing forth to Pavamana skilled in holy song: the juice is flowing onward like a mighty stream.
अहिर्न जूर्णामति सर्पति तवचमत्यो न करीळन्नसरद वर्षा हरिः ||	ahirna jūrṇāmati sarpati tvacamatyo na krīḷannasarad vṛṣā hariḥ ||	He.glideth like a serpent from his ancient skin, and like a playful horse the Tawny Steer hath run.
अग्रेगो राजाप्यस्तविष्यते विमानो अह्नां भुवनेष्वर्पितः |	aghregho rājāpyastaviṣyate vimāno ahnāṃ bhuvaneṣvarpitaḥ |	45 Dweller in floods, King, foremost, he displays his might, set among living things as measurer of days.
हरिर्घ्र्तस्नुः सुद्र्शीको अर्णवो जयोतीरथः पवते राय ओक्यः ||	harirghṛtasnuḥ sudṛśīko arṇavo jyotīrathaḥ pavate rāya okyaḥ ||	Distilling oil he flows, fair, billowy, golden-hued, borne on a car of light, sharing one hom-e with wealth.
असर्जि सकम्भो दिव उद्यतो मदः परि तरिधातुर्भुवनान्यर्षति |	asarji skambho diva udyato madaḥ pari tridhāturbhuvanānyarṣati |	46 Loosed is the heavens! support, the uplifted cheering juice: the triply-mingled draught flows round into the worlds.
अंशुं रिहन्ति मतयः पनिप्नतं गिरा यदि निर्णिजं रग्मिणो ययुः ||	aṃśuṃ rihanti matayaḥ panipnataṃ ghirā yadi nirṇijaṃ ṛghmiṇo yayuḥ ||	The holy hymns caress the stalk that claims our praise, when singers have approached his beauteous robe with song.
पर ते धारा अत्यण्वानि मेष्यः पुनानस्य संयतो यन्तिरंहयः |	pra te dhārā atyaṇvāni meṣyaḥ punānasya saṃyato yantiraṃhayaḥ |	47 Thy strearns that flow forth rapidly collected run over the fine fleece of the sheep as thou art cleansed.
यद गोभिरिन्दो चम्वोः समज्यस आ सुवानः सोम कलशेषु सीदसि ||	yad ghobhirindo camvoḥ samajyasa ā suvānaḥ soma kalaśeṣu sīdasi ||	When, Indu, thou art. balmed with milk within the bowl, thou sinkest in the jars, O Soma, when expressed.
पवस्व सोम करतुविन न उक्थ्यो.अव्यो वारे परि धाव मधु परियम |	pavasva soma kratuvin na ukthyo.avyo vāre pari dhāva madhu priyam |	48 Winner of power, flow, Soma, worthy of our laud: run onward to the fleece as well-beloved meath.
जहि विश्वान रक्षस इन्दो अत्रिणो बर्हद वदेम विदथेसुवीराः ||	jahi viśvān rakṣasa indo atriṇo bṛhad vadema vidathesuvīrāḥ ||	Destroy, O Indu, all voracious Rākṣasas. With brave sons in the assembly let our speech be bold.

पर तु दरव परि कोशं नि षीद नर्भिः पुनानो अभि वाजमर्ष |	pra tu drava pari kośaṃ ni ṣīda nṛbhiḥ punāno abhi vājamarṣa |	1. RUN onward to the reservoir and seat thee: cleansed by the men speed forward to the battle.
अश्वं न तवा वाजिनं मर्जयन्तो.अछा बर्ही रशनाभिर्नयन्ति ||	aśvaṃ na tvā vājinaṃ marjayanto.achā barhī raśanābhirnayanti ||	Making thee beauteous like an able courser, forth to the sacred grass with reins they lead thee.
सवायुधः पवते देव इन्दुरशस्तिहा वर्जनं रक्षमाणः |	svāyudhaḥ pavate deva induraśastihā vṛjanaṃ rakṣamāṇaḥ |	2 Indu, the well-armed God, is flowing onward, who quells the curse and guards from treacherous onslaught,
पिता देवानां जनिता सुदक्षो विष्टम्भो दिवो धरुणः पर्थिव्याः ||	pitā devānāṃ janitā sudakṣo viṣṭambho divo dharuṇaḥ pṛthivyāḥ ||	Father, begetter of the Gods, most skilful, the buttress of the heavens and earth's supporter.
रषिर्विप्रः पुरेता जनानां रभुर्धीर उशना काव्येन |	ṛṣirvipraḥ puraetā janānāṃ ṛbhurdhīra uśanā kāvyena |	3. Ṛṣi and Sage, the Champion of the people, cleft and sagacious, Uśanā in wisdom,
स चिद विवेद निहितं यदासामपीच्यं गुह्यं नाम गोनाम ||	sa cid viveda nihitaṃ yadāsāmapīcyaṃ ghuhyaṃ nāma ghonām ||	He hath discovered even their hidden nature, the Cows' concealed and most mysterious title.
एष सय ते मधुमानिन्द्र सोमो वर्षा वर्ष्णे परि पवित्रे अक्षाः |	eṣa sya te madhumānindra somo vṛṣā vṛṣṇe pari pavitre akṣāḥ |	4 This thine own Soma rich in meath, O Indra, Steer for the Steer, hath flowed into the filter.
सहस्रसाः शतसा भूरिदावा शश्वत्तमं बर्हिरा वाज्यस्थात ||	sahasrasāḥ śatasā bhūridāvā śaśvattamaṃ barhirā vājyasthāt ||	The strong Free-giver, winning hundreds, thousands, hath reached the holy grass that never fails him.
एते सोमा अभि गव्या सहस्रा महे वाजायाम्र्ताय शरवांसि |	ete somā abhi ghavyā sahasrā mahe vājāyāmṛtāya śravāṃsi |	5 These Somas are for wealth of countless cattle, renown therefor, and mighty strength immortal.
पवित्रेभिः पवमाना अस्र्ग्रञ्छ्रवस्यवो न पर्तनाजो अत्याः ||	pavitrebhiḥ pavamānā asṛghrañchravasyavo na pṛtanājo atyāḥ ||	These have been sent forth, urified by strainers, like steeds who rusg to battle fain for glory.
परि हि षमा पुरुहूतो जनानां विश्वासरद भोजना पूयमानः |	pari hi ṣmā puruhūto janānāṃ viśvāsarad bhojanā pūyamānaḥ |	6 He, while he cleanses him, invoked of many, hath flowed to give the people all enjoyment.
अथा भर शयेनभ्र्त परयांसि रयिं तुञ्जानो अभि वाजमर्ष ||	athā bhara śyenabhṛta prayāṃsi rayiṃ tuñjāno abhi vājamarṣa ||	Thou whom the Falcon brought, bring, dainty viands, bestir thyself and send us wealth and booty.
एष सुवानः परि सोमः पवित्रे सर्गो न सर्ष्टो अदधावदर्वा |	eṣa suvānaḥ pari somaḥ pavitre sargho na sṛṣṭo adadhāvadarvā |	7 This Soma, pressed into the cleansing filter, hath run as ’twere a host let loose, the Courser;
तिग्मे शिशानो महिषो न शर्ङगे गा गव्यन्नभिशूरो न सत्वा ||	tighme śiśāno mahiṣo na śṛṅghe ghā ghavyannabhiśūro na satvā ||	Like a strong bull who whets his horns kpen-pointed, like a brave warrior in the fray for cattle.
एषा ययौ परमादन्तरद्रेः कूचित सतीरूर्वे गा विवेद |	eṣā yayau paramādantaradreḥ kūcit satīrūrve ghā viveda |	8 He issued forth from out the loftiest mountain, and found kine hidden somewhere in a stable.
दिवो न विद्युत सतनयन्त्यभ्रैः सोमस्य ते पवत इन्द्रधारा ||	divo na vidyut stanayantyabhraiḥ somasya te pavata indradhārā ||	Soma's stream clears itself for thee, O Indra, like lightning thundering through the clouds of heaven,
उत सम राशिं परि यासि गोनामिन्द्रेण सोम सरथं पुनानः |	uta sma rāśiṃ pari yāsi ghonāmindreṇa soma sarathaṃ punānaḥ |	9 Cleansing thyselr, and borne along with Indra, Soma, thou goest round the herd of cattle.
पूर्वीरिषो बर्हतीर्जीरदानो शिक्षा शचीवस्तव ता उपष्टुत ||	pūrvīriṣo bṛhatīrjīradāno śikṣā śacīvastava tā upaṣṭut ||	May thy praise help us, Mighty One, prompt Giver, to the full ample food which thou bestowest.

परो सय वह्निः पथ्याभिरस्यान दिवो न वर्ष्टिः पवमानोक्षाः |	pro sya vahniḥ pathyābhirasyān divo na vṛṣṭiḥ pavamānoakṣāḥ |	1. THIS Chariot-horse hath moved along the pathways, and Pavamana flowed like rain from heaven.
सहस्रधारो असदन नयस्मे मातुरुपस्थे वन आच सोमः ||	sahasradhāro asadan nyasme māturupasthe vana āca somaḥ ||	With us hath Soma with a thousand currents sunk in the wood, upon his Mother's bosom.
राजा सिन्धूनामवसिष्ट वास रतस्य नावमारुहद रजिष्ठाम |	rājā sindhūnāmavasiṣṭa vāsa ṛtasya nāvamāruhad rajiṣṭhām |	2. King, he hath clothed him in the robe of rivers, mounted the straightest-going ship of Order.
अप्सु दरप्सो वाव्र्धे शयेनजूतो दुह ईं पिता दुह ईं पितुर्जाम ||	apsu drapso vāvṛdhe śyenajūto duha īṃ pitā duha īṃ piturjām ||	Sped by the Hawk the drop hath waxed in waters: the father drains it, drains the Father's offspring.
सिंहं नसन्त मध्वो अयासं हरिमरुषं दिवो अस्य पतिम |	siṃhaṃ nasanta madhvo ayāsaṃ harimaruṣaṃ divo asya patim |	3 They come to him, red, tawny, Lord of Heaven, the watchful Guardian of the meath, the Lion.
शूरो युत्सु परथमः पर्छते गा अस्य चक्षसा परि पात्युक्षा ||	śūro yutsu prathamaḥ pṛchate ghā asya cakṣasā pari pātyukṣā ||	First, Hero in the fight, he seeks the cattle, and with his eye the Steer is our protector.
मधुप्र्ष्ठं घोरमयासमश्वं रथे युञ्जन्त्युरुचक्रर्ष्वम |	madhupṛṣṭhaṃ ghoramayāsamaśvaṃ rathe yuñjantyurucakraṛṣvam |	4 They harness to the broad-wheeled car the mighty Courser whose back bears meath, unwearied, awful.
सवसार ईं जामयो मर्जयन्ति सनाभयो वाजिनमूर्जयन्ति ||	svasāra īṃ jāmayo marjayanti sanābhayo vājinamūrjayanti ||	The twins, the sisters brighten him, and strengthen-these children of one damethe vigorous Racer.
चतस्र ईं घर्तदुहः सचन्ते समाने अन्तर्धरुणे निषत्ताः |	catasra īṃ ghṛtaduhaḥ sacante samāne antardharuṇe niṣattāḥ |	5 Four pouring out the holy oil attend him, sitting together in the same container.
ता ईमर्षन्ति नमसा पुनानास्ता ईं विश्वतः परि षन्ति पूर्वीः ||	tā īmarṣanti namasā punānāstā īṃ viśvataḥ pari ṣanti pūrvīḥ ||	To him they flow, when purified, with homage, and still, from every side, are first about him.
विष्टम्भो दिवो धरुणः पर्थिव्या विश्वा उत कषितयो हस्ते अस्य |	viṣṭambho divo dharuṇaḥ pṛthivyā viśvā uta kṣitayo haste asya |	6 He is the buttress of the heavens, supporter of earth, and in his hand are all the people.
असत त उत्सो गर्णते नियुत्वान मध्वो अंशुः पवतैन्द्रियाय ||	asat ta utso ghṛṇate niyutvān madhvo aṃśuḥ pavataindriyāya ||	Be the team's Lord a well to thee the singer: cleansed is the sweet plant's stalk for deed of glory.
वन्वन्नवातो अभि देववीतिमिन्द्राय सोम वर्त्रहा पवस्व |	vanvannavāto abhi devavītimindrāya soma vṛtrahā pavasva |	7 Fighting, uninjured come where Gods are feasted; Soma, as Vitra-slayer flow for Indra.
शग्धि महः पुरुश्चन्द्रस्य रायः सुवीर्यस्य पतयः सयाम ||	śaghdhi mahaḥ puruścandrasya rāyaḥ suvīryasya patayaḥ syāma ||	Vouchsafe us ample riches very splendid may we be masters of heroic vigour.

पर हिन्वानो जनिता रोदस्यो रथो न वाजं सनिष्यन्नयासीत |	pra hinvāno janitā rodasyo ratho na vājaṃ saniṣyannayāsīt |	1. URGED On, the Father of the Earth and Heaven hath gone forth like a car to gather booty,
इन्द्रं गछन्नायुधा संशिशानो विश्वा वसु हस्तयोरादधानः ||	indraṃ ghachannāyudhā saṃśiśāno viśvā vasu hastayorādadhānaḥ ||	Going to Indra, sharpening his weapons, and in his hand containing every treasure.
अभि तरिप्र्ष्ठं वर्षणं वयोधामाङगूषाणामवावशन्त वाणीः |	abhi tripṛṣṭhaṃ vṛṣaṇaṃ vayodhāmāṅghūṣāṇāmavāvaśanta vāṇīḥ |	2 To him the tones of sacred song have sounded, Steer of the triple height, the Life-bestower.
वना वसानो वरुणो न सिन्धून वि रत्नधा दयते वार्याणि ||	vanā vasāno varuṇo na sindhūn vi ratnadhā dayate vāryāṇi ||	Dwelling in wood as Varuṇa in rivers, lavishing treasure he distributes blessings
शूरग्रामः सर्ववीरः सहावाञ जेता पवस्व सनिता धनानि |	śūraghrāmaḥ sarvavīraḥ sahāvāñ jetā pavasva sanitā dhanāni |	3 Great Conqueror, warnor-girt, Lord of all heroes, flow on thy way as he who winneth riches;
तिग्मायुधः कषिप्रधन्वा समत्स्वषाळ्हः साह्वान्प्र्तनासु शत्रून ||	tighmāyudhaḥ kṣipradhanvā samatsvaṣāḷhaḥ sāhvānpṛtanāsu śatrūn ||	With sharpened. arms, with swift bow, never vanquished in battle, vanquishing in fight the foemen.
उरुगव्यूतिरभयानि कर्ण्वन समीचीने आ पवस्वा पुरन्धी |	urughavyūtirabhayāni kṛṇvan samīcīne ā pavasvā purandhī |	4 Giving security, Lord of wide dominion, send us both earth and heaven with all their fulness.
अपः सिषासन्नुषसः सवर्गाः सं चिक्रदो महो अस्मभ्यं वाजान ||	apaḥ siṣāsannuṣasaḥ svarghāḥ saṃ cikrado maho asmabhyaṃ vājān ||	Striving to win the Dawns, the light, the waters, and cattle, call to us abundant vigour.
मत्सि सोम वरुणं मत्सि मित्रं मत्सीन्द्रमिन्दो पवमान विष्णुम |	matsi soma varuṇaṃ matsi mitraṃ matsīndramindo pavamāna viṣṇum |	5 O Soma, gladden Varuṇa and Mitra; cheer, Indu Pavamana! Indra, Viṣṇu.
मत्सि शर्धो मारुतं मत्सि देवान मत्सि महामिन्द्रमिन्दो मदाय ||	matsi śardho mārutaṃ matsi devān matsi mahāmindramindo madāya ||	Cheer thou the Gods, the Company of Maruts: Indu, cheer mighty Indra to rejoicing.
एवा राजेव करतुमानमेन विश्वा घनिघ्नद दुरिता पवस्व |	evā rājeva kratumānamena viśvā ghanighnad duritā pavasva |	6 Thus like a wise and potent King flow onward, destroying with thy vigour all misfortunes.
इन्दो सूक्ताय वचसे वयो धा यूयं पात सवस्तिभिः सदा नः ||	indo sūktāya vacase vayo dhā yūyaṃ pāta svastibhiḥ sadā naḥ ||	For our well-spoken hymn give life, O Indu. Do ye preserve us evermore with blessings.

असर्जि वक्वा रथ्ये यथाजौ धिया मनोता परथमो मनीषी |	asarji vakvā rathye yathājau dhiyā manotā prathamo manīṣī |	1. As for a chariot-race, the skilful Speaker, Chief, Sage, Inventor, hath, with song, been started.
दश सवसारो अधि सानो अव्ये.अजन्ति वह्निं सदनान्यछ ||	daśa svasāro adhi sāno avye.ajanti vahniṃ sadanānyacha ||	The sisters ten upon the fleecy summit drive on the Car-horse to the resting places.
वीती जनस्य दिव्यस्य कव्यैरधि सुवानो नहुष्येभिरिन्दुः |	vītī janasya divyasya kavyairadhi suvāno nahuṣyebhirinduḥ |	2 The drop of Soma, pressed by wise Nahusyas, becomes the banquet of the Heavenly People-
पर यो नर्भिरम्र्तो मर्त्येभिर्मर्म्र्जानो.अविभिर्गोभिरद्भिः ||	pra yo nṛbhiramṛto martyebhirmarmṛjāno.avibhirghobhiradbhiḥ ||	Indu, by hands of mortal men made beauteous, immortal, with the sheep and cows and waters.
वर्षा वर्ष्ने रोरुवदंशुरस्मै पवमानो रुशदीर्ते पयोगोः |	vṛṣā vṛṣne roruvadaṃśurasmai pavamāno ruśadīrte payoghoḥ |	3 Steer roaring unto Steer, this Pavamana, this juice runs to the white milk of the milch-cow.
सहस्रं रक्वा पथिभिर्वचोविदध्वस्मभिः सूरो अण्वं वि याति ||	sahasraṃ ṛkvā pathibhirvacovidadhvasmabhiḥ sūro aṇvaṃ vi yāti ||	Through thousand fine hairs goes the tuneful Singer, like Sūra by his fair and open pathways.
रुजा दर्ळ्हा चिद रक्षसः सदांसि पुनान इन्द ऊर्णुहि विवाजान |	rujā dṛḷhā cid rakṣasaḥ sadāṃsi punāna inda ūrṇuhi vivājān |	4 Break down the, strong seats even of the demons: cleansing thee, Indu, robd thyself in vigour.
वर्श्चोपरिष्टात तुजता वधेन ये अन्ति दूरादुपनायमेषाम ||	vṛścopariṣṭāt tujatā vadhena ye anti dūrādupanāyameṣām ||	Rend with thy swift bolt, coming from above them, those who are near and those who yet are distant.
स परत्नवन नव्यसे विश्ववार सूक्ताय पथः कर्णुहि पराचः |	sa pratnavan navyase viśvavāra sūktāya pathaḥ kṛṇuhi prācaḥ |	5 Prepare the forward paths in ancient manner for the new bymn, thou Giver of all bounties.
ये दुःषहासो वनुषा बर्हन्तस्तांस्ते अश्याम पुरुक्र्त पुरुक्षो ||	ye duḥṣahāso vanuṣā bṛhantastāṃste aśyāma purukṛt purukṣo ||	Those which are high and hard for foes to conquer may we gain from thee, Active! Food-bestower!
एवा पुनानो अपः सवर्गा अस्मभ्यं तोका तनयानि भूरि |	evā punāno apaḥ svarghā asmabhyaṃ tokā tanayāni bhūri |	6 So purifying thee vouchsafe us waters, heaven's light, and cows, offipring and many children.
शं नः कषेत्रमुरु जयोतींषि सोम जयों नः सूर्यन्द्र्शये रिरीहि ||	śaṃ naḥ kṣetramuru jyotīṃṣi soma jyoṃ naḥ sūryandṛśaye rirīhi ||	Give us health, ample land, and lights, O Soma, and grant us long to look upon the sunshine.

परि सुवानो हरिरंशुः पवित्रे रथो न सर्जि सनये हियानः |	pari suvāno hariraṃśuḥ pavitre ratho na sarji sanaye hiyānaḥ |	1. THE gold-hued juice, poured out upon the filter, is started like a car sent forth to conquer.
आपच्छ्लोकमिन्द्रियं पूयमानः परति देवानजुषत परयोभिः ||	āpacchlokamindriyaṃ pūyamānaḥ prati devānajuṣata prayobhiḥ ||	He hath gained song and vigour while they cleansed him, and hath rejoiced the Gods with entertainments.
अछा नर्चक्षा असरत पवित्रे नाम दधानः कविरस्य योनौ |	achā nṛcakṣā asarat pavitre nāma dadhānaḥ kavirasya yonau |	2 He who beholdeth man hath reached the filter: bearing his name, the Sage hath sought his dwelling.
सीदन होतेव सदने चमूषूपेमग्मन्न्र्षयः सप्त विप्राः ||	sīdan hoteva sadane camūṣūpemaghmannṛṣayaḥ sapta viprāḥ ||	The Ṛṣis came to him, seven holy singers, when in the bowls he settled as Invoker.
पर सुमेधा गातुविद विश्वदेवः सोमः पुनानः सद एति नित्यम |	pra sumedhā ghātuvid viśvadevaḥ somaḥ punānaḥ sada eti nityam |	3 Shared by all Gods, mobt wise, propitious, Soma goes, while they cleanse him, to his constant station.
भुवद विश्वेषु काव्येषु रन्तानु जनान यतते पञ्च धीरः ||	bhuvad viśveṣu kāvyeṣu rantānu janān yatate pañca dhīraḥ ||	Let him rejoice in all his lofty wisdom to the Five Tribes the Sage attains with labour.
तव तये सोम पवमान निण्ये विश्वे देवास्त्रय एकादशासः |	tava tye soma pavamāna niṇye viśve devāstraya ekādaśāsaḥ |	4 In thy mysterious place, O Pavamana Soma, are all the Gods, the Thrice-Eleven.
दश सवधाभिरधि सानो अव्ये मर्जन्ति तवा नद्यः सप्त यह्वीः ||	daśa svadhābhiradhi sāno avye mṛjanti tvā nadyaḥ sapta yahvīḥ ||	Ten on the fleecy height, themselves, self-prompted, and seven fresh rivers, brighten and adorn thee.
तन नु सत्यं पवमानस्यास्तु यत्र विश्वे कारवः संनसन्त |	tan nu satyaṃ pavamānasyāstu yatra viśve kāravaḥ saṃnasanta |	5 Now let this be the truth of Pavamana, there where all singers gather them together,
जयोतिर्यदह्ने अक्र्णोदु लोकं परावन मनुं दस्यवे करभीकम ||	jyotiryadahne akṛṇodu lokaṃ prāvan manuṃ dasyave karabhīkam ||	That he hath given us room and made the daylight, hath holpen Manu and repelled the Dasyu.
परि सद्मेव पशुमान्ति होता राजा न सत्यः समितीरियानः |	pari sadmeva paśumānti hotā rājā na satyaḥ samitīriyānaḥ |	6 As the priest seeks the station rich in cattle, like a true King who goes to great assemblies,
सोमः पुनानः कलशानयासीत सीदन मर्गो न महिषो वनेषु ||	somaḥ punānaḥ kalaśānayāsīt sīdan mṛgho na mahiṣo vaneṣu ||	Soma hath sought the beakers while they cleansed him, and like a wild bull, in the wood hath settled.

साकमुक्षो मर्जयन्त सवसारो दश धीरस्य धीतयो धनुत्रीः |	sākamukṣo marjayanta svasāro daśa dhīrasya dhītayo dhanutrīḥ |	1. TEN sisters, pouring out the rain together, swift-moving thinkers of the sage, adorn him.
हरिः पर्यद्रवज्जाः सूर्यस्य दरोणं ननक्षे अत्यो न वाजी ||	hariḥ paryadravajjāḥ sūryasya droṇaṃ nanakṣe atyo na vājī ||	Hither hath run the gold-hued Child of Sūrya and reached the vat like a fleet vigorous courser.
सं मात्र्भिर्न शिशुर्वावशानो वर्षा दधन्वे पुरुवारोद्भिः |	saṃ mātṛbhirna śiśurvāvaśāno vṛṣā dadhanve puruvāroadbhiḥ |	2 Even as a youngling crying to his mothers, the bounteous Steer hath flowed along to waters.
मर्यो न योषामभि निष्क्र्तं यन सं गछते कलश उस्रियाभिः ||	maryo na yoṣāmabhi niṣkṛtaṃ yan saṃ ghachate kalaśa usriyābhiḥ ||	As youth to damsel, so with milk he hastens on to the. chose meeting-place, the beaker.
उत पर पिप्य ऊधरघ्न्याया इन्दुर्धाराभिः सचते सुमेधाः |	uta pra pipya ūdharaghnyāyā indurdhārābhiḥ sacate sumedhāḥ |	3 Yea, swollen is the udder of the milch-cow: thither in streams goes very sapient Indu.
मूर्धानं गावः पयसा चमूष्वभि शरीणन्ति वसुभिर्न निक्तैः ||	mūrdhānaṃ ghāvaḥ payasā camūṣvabhi śrīṇanti vasubhirna niktaiḥ ||	The kine make ready, as with new-washed treasures, the Head and Chief with milk within the vessels.
स नो देवेभिः पवमान रदेन्दो रयिमश्विनं वावशानः |	sa no devebhiḥ pavamāna radendo rayimaśvinaṃ vāvaśānaḥ |	4 With all the Gods, O Indu Pavamana, while thou art roaring send us wealth in horses.
रथिरायतामुशती पुरन्धिरस्मद्र्यगा दावने वसूनाम ||	rathirāyatāmuśatī purandhirasmadryaghā dāvane vasūnām ||	Hither upon her car come willing Plenty, inclined to us, to give us of her treasures.
नू नो रयिमुप मास्व नर्वन्तं पुनानो वाताप्यं विश्वश्चन्द्रम |	nū no rayimupa māsva nṛvantaṃ punāno vātāpyaṃ viśvaścandram |	5 Now unto us mete riches, while they cleansethee, all-glorious, swelling wealth, with store of heroes.
पर वन्दितुरिन्दो तार्यायुः परातर्मक्षू धियावसुर्जगम्यात ||	pra vanditurindo tāryāyuḥ prātarmakṣū dhiyāvasurjaghamyāt ||	Long be his life who worships, thee, O Indu. May he, enriched with prayer, come soon and early.

