Pransa_no	PATALA_no	Section_no	Text_no	Hymn
2	4	10	5	Having performed the rites down to the Âgyabhâga offerings, he suspends his sacrificial cord over his right shoulder and calls the Fathers (to his sacrifice) with (the verse), 'Come hither, O Fathers, friends of Soma, on your hidden, ancient paths, bestowing on us offspring and wealth and long life, a life of a hundred autumns.'
2	4	10	6	He sprinkles water in the same direction (i.e. towards the south) with (the verse), 'Divine waters, send us Agni. May our Fathers enjoy this sacrifice. May they who receive their nourishment every month bestow on us wealth with valiant heroes.'
2	4	10	7	Having performed the rites down to the Vyâhriti oblations with his sacrificial cord over his left shoulder, he suspends it over his right shoulder and sacrifices with (the following Mantras):'To Soma with the Fathers, svadhâ! Adoration! 'To Yama with the Aṅgiras and with the Fathers, svadhâ! Adoration!'With the waters that spring in the east and those that come from the north: with the waters, the supporters of the whole world, I interpose another one between (myself and) my father. Svadhâ! Adoration!'I interpose (another one) through the mountains;'I interpose through the wide earth; through the sky and the points of the horizon, through infinite bliss I interpose another one between (myself and) my grandfather. Svadhâ! Adoration!'I interpose (another one) through the seasons, through days and nights with the beautiful twilight. Through half-months and months I interpose another one between (myself and) my great-grandfather. Svadhâ! Adoration!'Then he sacrifices with their names: 'To N.N. svadhâ! Adoration! To N.N. svadhâ! Adoration!''Wherein my mother has done amiss, abandoning her duty (towards her husband), may my father take that sperm as his own; may another one fall off from the mother. Svadhâ! Adoration!'In the same way a second and a third verse with the alteration of the Mantra, 'Wherein my grandmother,' 'Wherein my great-grandmother.'
2	4	11	1	'The Fathers who are here and who are not here, and whom we know and whom we do not know: Agni, to thee they are known, how many they are, Gâtavedas. May they enjoy what thou givest them in our oblation. Svadhâ! Adoration!'Your limb that this flesh-devouring (Agni) has burnt, leading you to the worlds (of the Fathers), Gâtavedas, that I restore to you again. Unviolated with all your limbs arise, O Fathers! Svadhâ! Adoration!'Carry the Âgya, Gâtavedas, to the Fathers, where thou knowest them resting afar. May streams of Âgya flow to them; may their wishes with all their desires be fulfilled! Svadhâ! Adoration!'In the same way a second and a third verse with the alteration of the Mantra, 'to the grandfathers,' 'to the great-grandfathers.'
2	4	11	2	In the same way he sacrifices of the food, altering the Mantra, 'Carry the food, &c.'
2	4	11	3	Then he sacrifices the Svishtakrit oblationwith (the formula), 'To Agni Kavyavâhana Svishtakrit svadhâ! Adoration!'
2	4	11	4	He then touches the food with (the formulas), 'The earth is thy vessel, the heaven is the lid. I sacrifice thee into the Brahman's mouth. I sacrifice thee into the up-breathing and down-breathing of the Brâhmanas. Thou art imperishable; do not perish for the Fathers yonder, in yon world! The earth is steady; Agni is its surveyor in order that what has been given may not be lost.'The earth is thy vessel, the heaven is the lid, &c. Do not perish for the grandfathers yonder, in yon world. The air is steady; Vâyu is its surveyor, in order that what has been given may not be lost.'The earth is thy vessel, the heaven is the lid, &c. Do not perish for the great-grandfathers yonder, in yon world. The heaven is steady; Âditya is its surveyor, in order that what has been given may not be lost.'
2	4	11	5	With (the words), 'I establish myself in the breath and sacrifice ambrosia,' he causes the Brâhmanas to touch (the food).
2	4	12	1	While they are eating, he looks at them with (the words), 'My soul (âtman) dwells in the Brahman that it may be immortal.'When they have eaten (and go away), he goes after them and asks for their permission to take the remains of their meal (for the rites which he is goingto perform). Then he takes a water-pot and a handful of Darbha grass, goes forth to a place that lies in a south-easterly intermediate direction, spreads the Darbha grass out with its points towards the south, and pours out on that (grass) with downward-turned hands, ending in the south, three handfuls of water, with (the formulas), 'May the fathers, the friends of Soma, wipe themselves! May the grandfathers . . . the great-grandfathers, the friends of Soma, wipe themselves!' or, 'N.N.! Wash thyself! N.N.! Wash thyself!'
2	4	12	3	On that (grass) he puts down, with downward-turned hands, ending in the south, the lumps (of food for the Fathers). To his father he gives his lump with (the words), 'This to thee, father, N.N.!' to the grandfather with (the words), 'This to thee, grandfather, N.N.!' to the great-grandfather with (the words), 'This to thee, great-grandfather, N.N.!' silently a fourth (lump). This (fourth lump) is optional.
2	4	12	4	Should he not know the names (of the ancestors), he gives the lump to the father with (the words), 'Svadhâ to the Fathers who dwell on the earth,' to the grandfather with (the words), 'Svadhâ to the Fathers who dwell in the air,' to the great-grandfather with (the words), 'Svadhâ to the Fathers who dwell in heaven.'
2	4	12	5	Then he gives, corresponding to each lump, collyrium and (other) salve and (something that represents) a garment.
2	4	12	6	The collyrium (he gives), saying three times, 'Anoint thy eyes, N.N.! Anoint thy eyes, N.N.!'
2	4	12	7	The salve, saying three times, 'Anoint thyself, N.N.! Anoint thyself, N.N.!'
2	4	12	8	With (the formula), 'These garments are for you, O Fathers. Do not seize upon anything else that is ours,' he tears off a skirt (of his garment) or a flake of wool and puts that down (for the Fathers), if he is in the first half of his life.
2	4	12	9	He tears out some hairs of his body, if in the second half.
2	4	12	10	Then he washes the vessel (in which the food was of which he had offered the lumps), and sprinkles (the water with which he has washed it), from right to left round (the lumps) with (the Mantra), 'These honey-sweet waters, bringing refreshment to children and grandchildren, giving sweet drink and ambrosia to the Fathers, the divine waters refresh both (the living and the dead), these rivers, abounding in water, covered with reeds, with beautiful bathing-places; may they flow up to you in yon world!' Then he turns the vessel over, crosses his hands so that the left hand becomes right and the right hand becomes left, and worships (the Fathers) with the formulas of adoration, 'Adoration to you, O Fathers, for the sake of sap' .
2	4	12	11	Then he goes to the brink of some water and pours down three handfuls of water (with the following Mantras):
2	4	13	1	'This is for thee, father, this honey-sweet wave, rich in water. As great as Agni and the earth are, so great is its measure, so great is its might. As. such a great one I give it. As Agni is imperishable and inexhaustible, thus may it be imperishable and inexhaustible, sweet drink to my father. By that imperishable (wave), that sweet drink, live thou together with those, N.N.! The Rikas are thy might.'This is for thee, grandfather, &c. . . . As great as Vâyu and the air are . . . As Vâyu is imperishable . . . to my grandfather. . . . The Yagus are thy might.'This is for thee, great-grandfather, &c. . . . As great as Âditya and the heaven are . . . "The Sâmans are thy might.'
2	4	13	2	Returning (from the place where he has performed the Pinda offerings) he puts the substance cleaving (to the Sthâlî) into the water-pot and pours it out, with (the verse), 'Go away, O Fathers, friends of Soma, on your hidden, ancient paths. After a month return again to our house and eat our offerings, rich in offspring, in valiant sons.'
2	4	13	3	Thereby the (Srâddha) celebrated in the middle of the rainy season has been declared.
2	4	13	4	There (oblations of) flesh are prescribed;
2	4	13	5	Of vegetables, if there is no flesh.End of the Fourth Patala.
2	5	14	1	We shall explain (the festival of) the Ashtakâ.
2	5	14	2	The eighth day of the dark fortnight that follows after the full moon of Mâgha, is called Ekâsntakâ.
2	5	14	3	On the day before that Ashtakâ, under (the Nakshatra) Anûrâdhâs, in the afternoon he puts wood on the fire, strews southward-pointed and eastward-pointed Darbha grass around it, and turns rice out of four shallow cups over which he has laid one purifier, with (the Mantra), 'I turn out, impelled by the god Savitri, this cake prepared from four cups (of rice), which may drive away all suffering from the Fathers in the other world. On the impulse of the god Savitri, with the arms of the two Asvins, with Pûshan's hands I turn thee out, agreeable to the fathers, the grandfathers, the great-grandfathers.'
2	5	14	4	With the same purifier he silently strains the Prokshanî water; he silently sprinkles (with that water the rice and the vessels), silently husks (the rice), silently bakes it in four dishes like a Purodâsa, sprinkles (Âgya) on it, takes it from the fire, sprinkles (water) round (the fire) from right to left, and puts a piece of Udumbara wood on (the fire). With the (spoon called) Darvi which is made of Udumbara wood, he cuts off in one continual line which is directed towards south-east, (the Avadâna portions)one after the other, spreading under and sprinkling over them (Âgya), and sacrifices them, one after the other, in one continual line which is directed towards south-east, with (the Mantras), 'The mortars, the pressing-stones have made their noise, preparing the annual offering. Ekâshtakâ! May we be rich in offspring, in valiant sons, the lords of wealth. Svadhâ! Adoration!'God Agni! The cake which is prepared with ghee and accompanied by (the word) svadhâ, that the Fathers may satiate themselves—(this our) offering carry duly, Agni. I, the son, sacrifice an oblation to my fathers. Svadhâ! Adoration!'Here is a cake, Agni, prepared from four cups (of rice), with ghee, rich in milk, in wealth, in prosperity. May the Fathers gladly accept it all together; may it be well sacrificed and well offered by me. Svadhâ! Adoration!'
2	5	14	5	Then he makes oblations of (other) food with (the verses), 'The one who shone forth as the first,' 'The Ekâshtakâ, devoting herself to austerities,' 'She who shone forth as the first' .
2	5	14	6	Cutting off (the Avadânas destined for the Svishtakrit oblation) together from the cake and from the (other) food and mixing them with clarified butter, he makes an oblation thereof with (the formula), 'To Agni Kavyavâhana Svishtakrit svadhâ! Adoration!'
2	5	14	7	That (cake) with ghee and honey and with the food  he touches in the way prescribed for the Srâddha ceremony and putsdown lumps (of it) according to the ritual of the Pinda offerings.
2	5	14	8	(The remains of) that (cake, &c.) he serves to learned Brâhmanas.
2	5	14	9	He gives them food and presents as at the Srâddha ceremony.
2	5	14	10	The known (rites) down to the pouring out of the handfuls of water (are performed here) as at the monthly (Srâddha).
2	5	15	1	On the following day he sacrifices a cow to the Fathers.
2	5	15	2	Having put wood on the fire and strewn southward-pointed and eastward-pointed Darbha grass around it, he sacrifices the oblation for the touching of the animal (see below), with (the verse), 'This cow I touch for the Fathers; may my assembled fathers gladly accept it (which is offered) with fat and ghee, with the word svadhâ; may it satiate my fathers in the other world. Svadhâ! Adoration!' Then he touches (the cow) with one (blade of) sacrificial grass and with an unforked Vapâsrapanî of Udumbara wood, with (the formula), 'I touch thee agreeable to the Fathers.'
2	5	15	3	He sprinkles (the cow with water) with (the words), 'I sprinkle thee agreeable to the Fathers.'
2	5	15	4	When it has been sprinkled and fire has beencarried round it, they kill it to the west of the fire, its head being turned to the west, its feet to the south.
2	5	15	5	After it has been killed, he silently 'strengthens' its sense-organs (by touching them) with water, and silently takes out the omentum, the heart, and the kidneys.
2	5	15	6	With the Vapâsrapanî of Udumbara wood he roasts the omentum; with spits of Udumbara wood the other  separately.
2	5	15	7	After he has roasted them, and has sprinkled Âgya over them, and has taken them from the fire, he sprinkles water round (the fire) from right to left, puts a piece of Udumbara wood on (the fire), and sacrifices with a Darvi spoon of Udumbara wood the omentum, spreading under and sprinkling over it (Âgya), with (the verse), 'Carry the omentum, Gâtavedas, to the Fathers, where thou knowest them resting afar. May streams of fat flow to them; may their wishes with all their desires be fulfilled. Svadhâ! Adoration!'
2	5	15	8	He sacrifices the omentum entirely. The other parts  he should offer to the Brâhmanas and should feed them (with those parts of the cow).
2	5	15	9	When the food (for the Brâhmanas) is ready, he cuts off (the Avadânas) together from the mess of boiled rice, and from the pieces of meat, and mixing them with clarified butter he makes oblationsthereof with the verses, 'Behold the Ekâshtakâ, the giver of food with meat and ghee, (which is offered) with (the word) svadhâ. By the Brâhmanas that food is purified. May it be an imperishable (blessing) to me! Svadhâ! Adoration!''The Ekâshtakâ, devoting herself to austerities, the consort of the year, exuberant (with milk), has poured forth milk. May you live on that milk, O Fathers, all together. May this (food) be well offered and well sacrificed by me! Svadhâ! Adoration!'The image of the year' .
2	5	15	10	After he has sacrificed, he cuts off (the Avadânas) from the food and from the pieces of meat, and mixing them with clarified butter he makes an oblation with (the formula), 'To Agni Kavyavâhana Svishtakrit svadhâ! Adoration!'
2	5	15	11	The known (rites) down to the pouring out of the handfuls of water (are performed here) as at the monthly (Srâddha).
2	5	15	12	The gifts of food and presents, however, are not necessary here.
2	5	15	13	On the following day, he prepares food for the Fathers with the rest of the meat, and sacrifices with (the two verses), 'Thou, Agni, art quick,' (and), Pragâpati!' .
2	5	15	14	.End of the Fifth Patala.
2	6	16	1	Now (follows) the Sravanâ ceremony.
2	6	16	2	On the day of that full moon which falls under (the Nakshatra) Sravana, after the evening Agnihotra he puts wood on the (third of the three Srauta fires, called the) Dakshinâgni. One who has not set up the (Srauta) fires, (does the same with) the sacred domestic fire.
2	6	16	3	Then he procures unbroken grains, unbroken fried grains, coarsely ground grains, (leaves and blossoms) of the Kimsuka tree, collyrium and (other) salve, and Âgya.
2	6	16	4	Having 'spread under' (Âgya) in the (spoon called) Darvi, he cuts off (the Avadânas) of those kinds of food , mixes them with clarified butter, and sacrifices (with the formulas), 'Adoration to Agni the terrestrial, the lord of terrestrial beings! Svâhâ! Adoration to Vâyu the all-pervading, the lord of aerial beings! Svâhâ! Adoration to Sûrya, the red one, the lord of celestial beings! Svâhâ! Adoration to Vishnu, the whitish one, the lord of the beings that dwell in the quarters (of the world). Svâhâ!'
2	6	16	5	He anoints the Kimsuka (flowers and leaves) with Âgya, and sacrifices with (the Mantras), 'Devoured is the gadfly; devoured is thirst (?); devoured is the stinging worm.' 'Devoured is the stinging worm; devoured is thirst; devoured is the gadfly.'[paragraph continues] 'Devoured is thirst; devoured is the gadfly; devoured is the stinging worm.'
2	6	16	6	He takes a water-pot and a handful of Darbha grass, goes forth, his face turned towards the east, spreads the Darbha grass out with its points towards the east, and makes four Bali-offerings on that (grass) with (the formulas), 'To the terrestrial Serpents I offer this Bali,' 'To the aerial, &c.; to the celestial, &c.; to the Serpents dwelling in the quarters (of the world),' &c.
2	6	16	7	Having given there collyrium and (other) salve (to the Serpents), he worships them with the Mantras, 'Adoration be to the Serpents' .
2	6	16	8	He should take a water-pot and should at that distance in which he wishes the serpents not to approach, three times walk round his house, turning his right side towards it, and should sprinkle water round it with (the formulas), 'Beat away, O white one, with thy foot, with the fore-foot and with the hind-foot, these seven human females and the three (daughters) of the king's tribe.'Within the dominion of the white one the Serpent has killed nobody. To the white one, the son of Vidarva, adoration!'Adoration to the white one, the son of Vidarva!'
2	6	16	9	Then he worships the Serpents towards the different regions, one by one with (the corresponding section of) these Mantras, 'The convergent one thou art called, the eastern region' .
2	6	16	10	From that time he daily makes the Bali-offerings till the full-moon day of Mârgasîrsha.
2	6	16	11	Here the Kimsuka offerings  are not repeated.
2	6	16	12	The sprinkling (of water) round (the house) does not take place .
2	6	16	13	The last Bali he offers with (the words), 'Going to acquit myself, going to acquit myself.'End of the Sixth Patala.
2	7	17	1	We shall explain the Âgrahâyanî ceremony.
2	7	17	2	On the full-moon day of Mârgasîrsha he puts wood on the fire, strews (Darbha grass) on the entire surface round the fire, cooks a mess of sacrificial food with milk, sprinkles it (with Âgya), takes it from the fire, performs the rites down to the Vyâhriti oblations, and sacrifices (four oblations) with (the following Mantras):'This offering, the creeping of Idâ, rich in ghee, moving and not moving, accept gladly, O Gâtavedas.[paragraph continues] What domestic animals there are, of all shapes, all seven kinds of them: may they gladly dwell here and may they prosper. Svâhâ!'The night which men welcome like a cow that comes to them, (the night) which is the consort of the year, may that (night) be auspicious to us. Svâhâ!'Bringing bliss to the cattle, to the wife, bringing bliss by night and by day, may this (night) which is the consort of the year, be auspicious to us. Svâhâ!'The full-moon night, bringing abundance, visiting one after another, dividing the months and fortnights: may this (night), the full one, protect us. Svâhâ!'
2	7	17	3	He sacrifices the oblation to Agni Svishtakrit with (the verse), 'Agni, make this (sacrifice) full that it may be well offered. Be victorious, O god, in all battles. Shine far and wide, showing us a wide path. Bestow on us long life, full of splendour and free from decay. Svâhâ!'
2	7	17	4	Then he washes his hands and touches the earth with (the formulas), 'In power I establish myself, in royalty. Among the horses I establish myself, among the cows. In the limbs I establish myself, in the self. In the Prânas I establish myself, in prosperity. In Heaven and Earth I establish myself, in sacrifice.'May the three times eleven gods, the thirty-three, the gracious ones, whose Purohita is Brihaspati, on the impulse of the god Savitri—may the gods with (all) the gods give me bliss!'
2	7	17	5	The master of the house sits down at their southerly end,
2	7	17	6	The other persons to the north,
2	7	17	7	According to their seniority.
2	7	17	8	They who know the Mantras among them, murmur the Mantras (which will be stated).
2	7	17	9	With (the verse), 'Be soft to us, O earth, free from thorns; grant us rest; afford us wide shelter' , and with the two (verses), 'Verily of the mountains'  they lie down on their right sides.
2	7	17	10	With (the verse), 'Up! with life'  they arise.
2	7	17	11	When they have arisen, they murmur, 'We have arisen; we have become immortal.'
2	7	17	12	In that way they (lie down and) arise that night three times.
2	7	17	13	Having served food to the Brâhmanas and having caused them to say, 'An auspicious day! Hail! Good luck!' they rest that night.End of the Seventh Patala.
2	8	18	1	Now we shall explain the opening and the conclusion (of the annual course of study).
2	8	18	2	During the fortnight that precedes the Sravanâfull moon, when the herbs have appeared, under (the Nakshatra) Hasta or on the full-moon day (itself), the opening ceremony of the (annual course of) study (is performed).
2	8	18	3	Having put wood on the fire and performed the rites down to the Vyâhriti oblations, he sacrifices (with his pupils) to the Rishis of the Kândas: 'To Pragâpati, the Rishi of a Kânda, svâhâ! To Soma, the Rishi of a Kânda, svâhâ! To Agni, the Rishi of a Kânda, svâhâ! To the Visve devâs, the Rishis of a Kânda, svâhâ! To Svayambhû, the Rishi of a Kânda, svâhâ!'—these are the Rishis of the Kândas. Or (he sacrifices) to the names of the Kândas, to the Sâvitrî, to the Rig-veda, the Yagur-veda, the Sâma-veda, the Atharva-veda, and to Sadasaspati.
2	8	18	4	Having (thus) sacrificed, they repeat the first three Anuvâkas,
2	8	18	5	Or the beginnings of all Kândas.
2	8	18	6	He enters upon (sacrificing) the Gaya, &c. .
2	8	18	7	After all rites down to the Svishtakrit oblation have been performed, they stop studying three days or one day; then they should go on studying so as to commence where they have broken off: so say the teachers.
2	8	18	8	During the fortnight that precedes the Taishî full moon, under (the Nakshatra) Rohinî or on the full-moon day (itself), the Utsarga (or conclusion of the term of study) is celebrated.
2	8	18	9	(The teacher) with his pupils goes in an easterly or northerly direction, and where they find a pleasant water with a pleasant bathing-place, they dive into it and perform three suppressions of the breath with the Agharmarshana hymn . Holding purifiers (i.e. Darbha blades) in their hands they bathe with the three (verses), 'Ye waters, ye are wholesome' , with the four (verses), 'The gold-coloured, pure, purifying waters' , and with the Anuvâka, '(Soma) which clears itself, the heavenly being' : giving the Darbha blades to each other and feigning to try to seize (??) each other.
2	8	18	10	Then they arrange on a pure spot that is inclined towards the east, seats of eastward-pointed Darbha grass, so that they end in the north—
2	8	19	1	For Brahman, Pragâpati, Brihaspati, Agni, Vâyu, the Sun, the Moon, the Stars, king Indra, king Yama, king Varuna, king Soma, king Vaisravana, for the Vasus, the Rudras, the Âdityas, the Visve devâs, the Sâdhyas, the Ribhus, the Bhrigus, the Maruts, the Atharvans, the Aṅgiras: for these divine beings.
2	8	19	2	Visvâmitra, Gamadagni, Bharadvâga and Gautama, Atri, Vasishtha, Kasyapa: these are the seven Rishis.
2	8	19	3	Wearing their sacrificial cords below (round their body) they arrange towards the north, at a place that is inclined towards the north, seats of northward-pointed Darbha grass, so that they end in the east, for Visvâmitra, Gamadagni, Bharadvâga, Gautama, Atri, Vasishtha, Kasyapa.
2	8	19	4	Between Vasishtha and Kasyapa they arrange (a seat) for Arundhatî, (the wife of Vasishtha);
2	8	19	5	Towards the south, in a place inclined towards the east, for Agastya.
2	8	19	6	Then for the (following) teachers, ending with those who teach (only) one Veda (?), viz. for Krishna Dvaipâyana, Gâtûkanya, Taruksha, Trinabindu, Varmin, Varûthin, Vâgin, Vâgasravas, Satyasravas, Susravas, Sutasravas, Somasushmâyana, Satvavat, Brihaduktha Vâmadev(y)a, Vâgiratna, Haryagvâyana, Udamaya, Gautama, Rinañgaya, Ritañgaya, Kritañgaya, Dhanañgaya, Babhru, Tryaruna, Trivarsha, Tridhâtu, Sibinta, Parâsara, Vishnu, Rudra, Skanda, Kâsisvara, Gvara, Dharma, Artha, Kâma, Krodha, Vasishtha, Indra, Tvashtri, Kartri, Dhartri, Dhâtri, Mrityu, Savitri, Sâvitrî, and for each Veda, for the Rig-veda, the Yagur-veda, the Sâma-veda, the Atharva-veda, the Itihâsa and Purâna.
2	8	19	7	Towards the south, with their sacrificial cords suspended over their right shoulders, in a place inclined towards the south, they arrange seats of southward-pointed Darbha grass, so that they end in the west—
2	8	20	1	For Vaisampâyana, Paliṅgu, Tittira [sic], Ukha, Âtreya, the author of the Pada-text, Kaundinya the author of the commentary, for the authors of the Sûtras, for Satyâshâdha (Hiranyakesin), for the handers-down of the text, for the teachers, the Rishis, the hermits dwelling in the woods, the chaste ones, for those who have only one wife.
2	8	20	2	They prepare (seats) each for his own fathers and maternal ancestors.
2	8	20	3	With (the words), 'For N.N. I prepare (a seat); for N.N. I prepare (a seat)' (he prepares) a seat.
2	8	20	4	With (the words), 'I satiate N.N.; I satiate N.N.' (he makes offerings of) water.
2	8	20	5	With (the words), 'Adoration to N: N.! Adoration to N.N.!' (he offers) perfumes, flowers, incense, and lamps.
2	8	20	6	With (the words), 'To N.N. svâhâ! To N.N. svâhâ!' (he offers) food.
2	8	20	7	With (the words), 'I satiate N.N.; I satiate N.N.' (he offers) water with fruits in it.
2	8	20	8	Having worshipped them with (the words), 'Adoration to N.N.! Adoration to N.N.!'—
2	8	20	9	Having put wood on the fire to the west of the surface (on which he had performed the Tarpana),and having performed the rites down to the Vyâhriti oblations .
2	8	20	10	With the two (verses), 'From joint to joint,' 'Thou who with a hundred'  they plant Dûrvâ grass at the shore of the water.
2	8	20	11	They stir up waves in the water and run a race in an easterly or northerly direction until they lose their breath.
2	8	20	12	When they have returned (from that race? or when they have returned from the whole ceremony to the village?) they offer cakes, coarsely ground grain, and boiled rice to the Brâhmanas.
2	8	20	13	The same (rites are repeated) when they have finished the study of the whole Veda, with the exception of the planting of Dûrvâ grass, of (stirring up) the water, and of the race.
2	8	20	14	Thus they satiate daily (after the Brahmayagña) the gods, the Rishis, and the Fathers with water; they satiate them with water.End of the Hiranyakesi-sûtra.
